Titre,Prix,Date d'ajout,Localisation,Annee,Auto_manuel,Carburant,Type,Secteur,Kilomtrage,Marque,Module,Nombre de portes,Origine,Première main,Puissance fiscale,Eat
Passat Diesel 2011 immatriculée Rabat,130 000 DH,il y a 1 jour,Casablanca,2011,Manuelle,Diesel,,,,,,,,,,
volkswagen tiguan,320 000 DH,il y a 1 jour,Casablanca,2022,Automatique,Diesel,"Voitures d'occasion, à vendre",2 Mars,100 000 - 109 999,Volkswagen,Tiguan,5,WW au Maroc,Oui,8 CV,Excellent
Land Rover Range Rover Sport Diesel Automatique,345 000 DH,il y a 10 minutes,Casablanca,2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Oulfa,160 000 - 169 999,Land Rover,Range Rover Sport,5,Importée neuve,Oui,12 CV,Excellent
Dacia Duster Diesel Automatique 2021 à Casablanca,159 000 DH,il y a 18 minutes,Casablanca,2021,Automatique,Diesel,"Voitures d'occasion, à vendre",2 Mars,95 000 - 99 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon
toyota corolla hybride neuf,206 000 DH,il y a 19 minutes,Casablanca,2021,Automatique,Hybride,"Voitures d'occasion, à vendre",Aïn Chock,60 000 - 64 999,Toyota,Corolla,5,WW au Maroc,Oui,9 CV,Excellent
jeep renegade 23 diesel 6ch neuf,206 000 DH,il y a 19 minutes,Casablanca,2023,Manuelle,Diesel,"Voitures d'occasion, à vendre",Aïn Chock,50 000 - 54 999,Jeep,Renegade,5,WW au Maroc,Oui,6 CV,Excellent
renault express,145 000 DH,il y a 27 minutes,Casablanca,2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",Autre secteur,95 000 - 99 999,Renault,Express,3,WW au Maroc,Non,6 CV,Très bon
MERCEDES-BENZ CLASS C 220 DIESEL AUTOMATIQUE,248 000 DH,il y a 31 minutes,Casablanca,2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Belvédère,100 000 - 109 999,Mercedes-Benz,220,5,WW au Maroc,Oui,9 CV,Très bon
ford focus automatique full led,223 000 DH,il y a 36 minutes,Casablanca,2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Aïn Chock,70 000 - 74 999,Ford,Focus,5,WW au Maroc,Oui,6 CV,Excellent
giulietta modèle 2014,105 000 DH,il y a 39 minutes,Casablanca,2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Maarif,190 000 - 199 999,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,8 CV,Excellent
Mercedes GLE 300 4matic,720 000 DH,il y a 42 minutes,Casablanca,2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Anfa,60 000 - 64 999,Mercedes-Benz,Classe GLE,5,WW au Maroc,Oui,8 CV,Excellent
Mercedes-Benz C 220 CDI BlueEFFICIENCY Avantgarde,228 000 DH,il y a 40 minutes,Casablanca,2012,Automatique,Diesel,,,,,,,,,,
Clio 5 tt option,139 000 DH,il y a 52 minutes,Casablanca,2021,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,100 000 - 109 999,Renault,Clio,3,WW au Maroc,Non,6 CV,Très bon
Dacia Sandero Diesel Manuelle 2022 à Casablanca,139 998 DH,il y a 52 minutes,Casablanca,2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Sandero,5,WW au Maroc,Non,6 CV,Très bon
Kia Picanto Essence Manuelle 2022 à Casablanca,108 998 DH,il y a 53 minutes,Casablanca,2022,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,100 000 - 109 999,Kia,Picanto,5,WW au Maroc,Non,6 CV,Très bon
Citroen c3,109 000 DH,il y a 53 minutes,Casablanca,2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,100 000 - 109 999,Citroen,C3,5,WW au Maroc,Non,6 CV,Très bon
Ford fiesta diesel,100 000 DH,il y a 53 minutes,Casablanca,2017,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,120 000 - 129 999,Ford,Fiesta,5,WW au Maroc,Non,6 CV,Très bon
Fiat 500 Essence Automatique 2022 à Casablanca,145 000 DH,il y a 53 minutes,Casablanca,2022,Automatique,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,60 000 - 64 999,Fiat,500,5,WW au Maroc,Non,7 CV,Très bon
